#,Menu_Item,SKU,Location,Category,Ingredients,Description,Price,Image,Order Online
35,Seaside Rice Noodle Soup,CB01,Orillia,CHICKEN/PORK BROTH NOODLE,,"Rice noodle soup packed with tender shrimp, squid, and fishball, served in a light, savory broth, and topped with fresh herbs and crispy garlic served with Golden, crispy fritters bursting with juicy shrimp, offering a perfect balance of crunch",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044374438_1729591906.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-seaside-rice-noodle-soup_c3f04c54-7df9-408a-823b-b0ba495ae86a
36,Chill Beef Egg Noodle Stew,CB04,Orillia,CHICKEN/PORK BROTH NOODLE,,"Delight in a bowl of hủ tiếu with tender, slow-cooked beef, bathed in a savory, aromatic stew. Served over silky noodles and topped with fresh herbs, crispy shallots, and a splash of lime, this dish offers a perfect harmony of flavors and textures that will warm your ",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044374444_1729591963.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-chill-beef-egg-noodle-stew_d762de07-58c3-40b6-8bc4-5ed19bef17c7
37,Stewy Beef Rice Noodle Fix,CB03,Orillia,CHICKEN/PORK BROTH NOODLE,,"Indulge in tender beef simmered to perfection in a rich, aromatic broth, served over hearty egg noodles and garnished with fresh herbs and a hint of lime for a burst of flavor in every bite",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044374442_1729591944.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-stewy-beef-rice-noodle-fix_ec816214-4b7b-4ed1-bac1-bb89fc0d1504
38,VIETNAMESE ICE COFFEE,203,Orillia,COFFEE,"coffee, ice, milk, sugar /",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044382187_1729584435.png?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-vietnamese-ice-coffee_01cd3f68-cef8-4390-bd38-25f9af5bf2dc
39,VA VA VIET ICE COFFEE SLUSHIE,VVV,Orillia,COFFEE,"beef, lemongrass, garlic, ginger, fish sauce, soy sauce, rice noodles, bean sprouts, cilantro, lime /",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044382185_1729584345.png?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-va-va-viet-ice-coffee-slushie_d0c77624-4fd2-48e4-92b0-57725e4fabc2
40,COCONUT COFFEE,380,Orillia,COFFEE,"coffee, coconut milk, cocoa powder, sugar.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044382183_1729584221.png?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-coconut-coffee_7a2b8e5b-05cb-4aca-8a27-53a82fbc159a
41,Shrimp Fried Rice,FR01,Orillia,FRIED RICE,,"Our unique Shrimp Fried Rice, featuring high-quality jasmine rice, succulent shrimp, fresh peas, carrots, and scrambled eggs, for a Vietnamese-style flavorful satisfaction",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044380276_1729587570.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-fried-rice_78450d21-81a5-4840-a46d-933e3cada072
42,Crispy Garlic Chicken Fried Rice,FR04,Orillia,FRIED RICE,,"Relish a delicious plate of fried rice stir-fried with juicy chicken thighs, perfectly sautéed garlic, and a hint of sweetness from honey. This dish combines savory and sweet flavors, creating a satisfying meal that will tantalize your taste bud",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044380282_1729587628.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-crispy-garlic-chicken-fried-rice_4978ffa8-08d3-410d-904f-681225e31182
43,Chicken Fried Rice,FR02,Orillia,FRIED RICE,,"Heavenly dish, cooked in our wok with succulent pieces of chicken mingled together with vibrant carrots and sweet peas",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044380278_1729587586.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-chicken-fried-rice_4ca38a91-8f0c-4815-99c1-7753d12bd1af
44,Seafood Fried Rice,FR03,Orillia,FRIED RICE,,"Combination fried rice, a sensational dish made with freshly cooked shrimp, squid, fishball, imitation crabmeat and egg combined with tender carrots and juicy peas. A delightful treat that can be enjoyed as its own meal or an accompaniment to any of your culinary creations!",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044380280_1729587601.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-seafood-fried-rice_f0e79fe2-63b1-4698-9f49-8a0ef94ba5a8
45,Cube Beef Fried Rice,FR05,Orillia,FRIED RICE,,"Indulge your taste buds with the amazing flavours of Bò Lúc Lắc, an iconic Vietnamese beef stir fry. This scrumptious dish features cubes of marinated beef cooked in a zesty and sweet sauce accompanied by sauteed onions and peppers to provide irresistible flavour - This dish comes with a side of white rice for an unforgettable culinary journey to Vie",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044380284_1729587655.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-cube-beef-fried-rice_7a3ead8b-f89f-4177-a40b-46726119d99b
46,Combination Fried Rice,FR06,Orillia,FRIED RICE,,"Indulge in our Vietnamese-style combination fried rice, a sensational dish made with freshly cooked chicken, sausage, pork and egg combined with tender carrots and juicy peas",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044380286_1729587670.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-combination-fried-rice_1df342e4-3143-4972-a8dd-ca4b3cc396e0
47,Lemon Queen with Aloe Vera,507,Orillia,FRUIT TEAS,lemon juice / simple syrup / club soda / lemon slices / mint leaves / crushed ice,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044383991_1729590758.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-lemon-queen-with-aloe-vera_2f51ba66-f84d-49dc-b7d5-1c645a1343d7
48,Strawberry Lover,504,Orillia,FRUIT TEAS,strawberries/cream/ice cream/sugar/milk/vanilla extract.,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044383987_1729590608.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-strawberry-lover_f6398ceb-96fa-4918-b7f4-f4500f88e905
49,Fruit Addict,508,Orillia,FRUIT TEAS,strawberries/mangoes/pineapples/blueberries/banana slices/orange juice/apple juice/ice cubes,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044383993_1729590823.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-fruit-addict_4f1cfcfc-edd5-4477-8de2-6939c54d2096
50,Grapefruit Green Tea with Aloe Vera,506,Orillia,FRUIT TEAS,"grapefruit, tea leaves.",,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044383989_1729590684.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grapefruit-green-tea-with-aloe-vera_7d389c25-8a68-4f91-aede-1572a0db295e
51,Mango Green Tea,501,Orillia,FRUIT TEAS,mango puree/sugar/water/ice/black tea bag.,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044383981_1729590219.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-mango-green-tea_61c3d95c-2fea-443f-8499-bedc811e266b
52,Passion Fruit Green Tea,502,Orillia,FRUIT TEAS,fruit tea blend / filtered water / ice / optional sweetener,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044383983_1729590298.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-passion-fruit-green-tea_e2ec273c-0f80-4e01-9af3-c245f1cc2d03
53,Fresh Peach Tea,503,Orillia,FRUIT TEAS,"black tea, peach flavoring, water, and sugar./",,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044383985_1729590521.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-fresh-peach-tea_04c66a49-3f59-4d4d-ad60-9bb713fa13e3
54,Shrimp Pad Thai,PT01,Orillia,PAD THAI,,"Indulge in our Vietnamese-style combination fried rice, a sensational dish made with freshly cooked chicken, sausage, pork and egg combined with tender carrots and juicy peas",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044381225_1729587989.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-pad-thai_c1a08814-0635-42ad-9a7d-503cde0eb9c6
55,Shrimp and Chicken Pad Thai,PT03,Orillia,PAD THAI,,"Succulent chicken and shrimp, tofu, white onions, secret sauce, all on chewy noodles with egg and peanuts!",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044381229_1729588021.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-and-chicken-pad-thai_5894575e-ac64-4593-a7db-b6b93bfbc37e
56,Tofu Pad Thai,PT04,Orillia,PAD THAI,,"A dish that's sure to tantalize your taste buds! Each mouthwatering bite comes packed full of flavor and spice, thanks to our house-made secret Pad Thai sauce. We start with a bed of chewy rice noodles, crunchy fried tofu bites and sautéed white onions before topping it all off with crushed peanuts for added texture and deliciousness",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044381231_1729588034.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-tofu-pad-thai_8335cc44-ee3a-4042-84b6-96271484f3f9
57,Chicken Pad Thai,PT02,Orillia,PAD THAI,,"Toronto Pho’s Famous Pad Thai – the delicious dish that packs a flavorful punch! Our take on this classic recipe is unlike any other, with succulent chicken and crunchy fried tofu bites, fried egg combined with chewy rice noodles, sautéed white onions, and topped with crushed peanuts to create an irresistible combination of tastes. But the star of this dish is our in-house secret Pad Thai sauce – fragrant and made from ",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044381227_1729588005.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-chicken-pad-thai_d75477e0-7b9c-4722-8713-af2711aeb610
58,Sprite,2303,Orillia,POP,"Sprite, ice, lemon wedge /",,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044385624_1729591878.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-sprite_62369a3d-49de-442f-a3ae-d3eb336c9e01
59,Diet Coke,2306,Orillia,POP,carbonated water / caramel color / aspartame / phosphoric acid / potassium benzoate / natural flavors / citric acid / caffeine.,,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044385618_1729591648.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-diet-coke_7beb4c96-f281-4cc5-a9f9-e7a18a559c18
60,Nestea,2305,Orillia,POP,"black tea, natural flavors, citric acid, sodium saccharin, ascorbic acid, caramel color, sodium benzoate, potassium sorbate, acesulfame potassium.",,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044385616_1729591532.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-nestea_9cc484e4-359d-4f1e-96c0-14520134950a
61,Ginger Ale,2304,Orillia,POP,"ginger, water, sugar, carbon dioxide, citric acid, natural flavors.",,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044385622_1729591810.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-ginger-ale_05a27785-bbf0-4879-8c17-2cb4f5bb9939
62,CoCA Cola,2302,Orillia,POP,carbonated water / high fructose corn syrup / caramel color / phosphoric acid / natural flavors / caffeine / sodium citrate,,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044385620_1729591743.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-coca-cola_cbaa3bef-891e-439f-b3d5-5469503747af
63,Water,2301,Orillia,POP,purified water.,,$2.95 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044385614_1729591437.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-water_bbce9f5e-f739-4ce0-bd70-d15c15740ea4
64,Mango Yogurt,703,Orillia,REFRESHERS,mango puree/ yogurt/ sugar/ lemon juice/ gelatin/ water.,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044384321_1729591228.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-mango-yogurt_24e8889b-f210-4a78-8aa0-d1f6d9e90f52
65,Strawberry yogurt,702,Orillia,REFRESHERS,strawberries/ yogurt/ sugar/ natural flavors/ milk solids/ pectin,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044384319_1729591082.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-strawberry-yogurt_3817554e-588b-4fb8-ac1d-7ec473fc8061
66,Fruity Explosion,705,Orillia,REFRESHERS,ground beef / jalapenos / onion / pepper jack cheese / chipotle mayo / lettuce / tomato / sesame seed bun,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044384323_1729591310.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-fruity-explosion_e83c3c8c-c1de-48ff-af5f-c2cdc23fcb5f
67,Sunrise Drink,701,Orillia,REFRESHERS,rum / lemon juice / grenadine / soda water / orange twist.,,$8.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044384317_1729590998.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-sunrise-drink_d4ed05ce-c5aa-49c4-896a-f396b2cf56b5
68,Grilled Pork Chop and Grilled Chicken on Rice,RD05,Orillia,RICE DISH,,"Marinated lemongrass pork chops and grilled chicken topped with scallion oil, served with steamed rice, Vietnamese daikon and carrot pickles, fresh salad, cucumbers, and a side of fish sauce.",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044376517_1729585255.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-and-grilled-chicken-on-rice_9fd39b88-3c30-41b9-b300-a2aa4da1233a
69,Grilled Pork Chop and Grilled Beef on Rice,RD06,Orillia,RICE DISH,,"Marinated lemongrass pork chops and grilled beef topped with scallion oil, served with steamed rice, Vietnamese daikon and carrot pickles, fresh salad, cucumbers, and a side of fish sauce.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044376519_1729585276.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-and-grilled-beef-on-rice_2461711b-83fe-4539-8e1c-5071b1fe1c75
70,Grilled Pork Chop on Rice,RD01,Orillia,RICE DISH,,"Marinated grilled pork chops topped with scallion oil, served with steamed rice, Vietnamese daikon and carrot pickles, fresh salad, cucumbers, and a side of fish sauce.",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044376509_1729585148.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-on-rice_b2eb3f11-4997-4aae-8f71-a2cace4d92d2
71,Grilled Beef on Rice,RD03,Orillia,RICE DISH,,"Tender, marinated grilled beef topped with scallion oil, served with steamed rice, Vietnamese daikon and carrot pickles, fresh salad, cucumbers, and a side of fish sauce,",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044376513_1729585086.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-on-rice_4be7ee79-dec0-4d14-bf6c-fb8a0c76b8fd
